,bookname,name
70,"[47453, 47454, 47455, 34539, 40258]",70
71,"[26088, 5413, 53051, 33577, 45284, 37448, 37449, 37472, 21305, 21307, 21306]",71
72,"[33464, 42654, 42654, 9731]",72
73,"[49867, 26516, 33273, 42968, 12015, 8662, 44876, 47945, 8124, 43449, 14503, 33482]",73
74,"[8576, 41392, 41393, 41394, 40543, 11638, 8332, 17077, 21874, 21875, 46610, 48624, 43069, 888, 13418, 36196, 16400, 24724, 40544, 40545, 45042, 15231, 13092]",74
75,"[44275, 11960, 17919, 35938, 40378, 35938, 23544, 31800]",75
76,"[36102, 13678, 24032, 10107, 9188, 42955, 38818, 16559, 27601, 8124, 43450, 21356, 18964, 36049, 17153, 16637, 43483, 43482, 42503, 45121, 52260, 31925, 27097, 51745, 35038, 28951, 47842, 47857, 47856, 47807, 15683, 24998]",76
77,"[4563, 4655, 1460, 1441, 7233, 7077, 1788, 1443, 1433, 4626, 7104, 7171, 7786, 42346, 4609]",77
78,"[20638, 20637, 20651, 20639, 10441, 30521, 20638, 25903, 20637, 20651, 47100, 17594, 40756, 37962, 33560, 32516, 25903]",78
79,"[29832, 19979, 29855, 33016, 35905, 35906, 13324, 33005, 43279, 290, 32796, 32949, 46494, 32925, 35899, 35905, 33004, 32998, 32798, 32801, 289, 452, 32968, 32834, 32832, 4398, 47340, 19579, 41744]",79
80,"[610, 611, 609, 612, 42066, 42064, 4677, 4678, 42092, 42062, 4671, 4660, 4675]",80
81,"[43276, 6328, 1432, 1451, 15564, 49793, 15769, 38033, 46750, 33003, 6342, 1451, 6328, 4619, 6330, 15564, 1457, 1457, 1432, 6373, 33007, 32870, 38033, 49793, 32916, 31441]",81
82,"[35336, 35339, 35334, 35332, 35338, 35335, 35334, 25813, 25813, 25813, 33329, 33329]",82
83,"[38002, 29785, 29924, 32850, 32832, 50256, 31729, 50250, 29897, 33136, 29806, 32865, 29924, 33136, 29897, 31729, 32632, 6714, 14642, 6826, 15011, 6767, 6642, 22727, 19023, 29736, 6786, 6836, 6846]",83
84,"[25962, 30813, 35897, 25955, 35901, 30724, 14497, 11406, 14498, 11789, 32967, 25965, 40662, 42222, 6606, 31949, 13669, 37824, 35901, 35897, 30813, 25955, 25962]",84
85,"[48170, 11210, 22337, 21952, 35106, 11470, 22330, 28472, 1418, 1434, 1451, 4866, 5714, 34612, 33002]",85
86,"[51615, 51610, 28481, 51609, 4574, 4550, 4537, 4601, 25837, 28481, 4393, 24172, 4632, 28482, 4580, 8194, 33762, 22440, 22441, 4601, 4550, 4580, 4574, 51609, 28481, 28481, 8189, 24172, 4393, 28482, 25837, 51615, 4632, 4537, 51610, 8190, 8190, 8192, 8191, 32868]",86
87,[26649],87
88,"[17473, 35369, 19590, 4815, 37976, 28484, 4534, 4611, 36127, 36128, 28583, 36129, 47936, 3082, 9803, 33652, 12782, 36115, 36062]",88
89,"[2010, 36146, 36149]",89
90,"[38854, 16354, 16355]",90
91,"[4393, 42344]",91
92,"[38032, 32870, 14671, 14672, 14668, 14670]",92
93,"[12443, 35148, 35151, 35150, 7842, 6274, 32752, 41254, 49566, 19589, 32753, 32992, 6776, 6775, 32734, 38239, 50912, 23232, 49564, 49565, 53268, 6287]",93
94,"[32869, 32739, 14671, 14672, 14668, 32869, 32870, 32924, 33124, 33121, 33059, 33121, 33121, 33121, 1395, 33100, 33105, 33121, 32871, 41943]",94
95,"[33071, 33018, 33018, 4368, 32874, 32874, 38083, 32874, 32874, 12196, 33097, 33106, 2152, 33070, 24533, 53264]",95
96,"[1447, 1458, 1440, 1461, 1443, 1450, 41614, 1449, 32910, 22728, 32883, 32908, 1396, 1398]",96
97,"[10707, 10705, 1946, 10706, 39936, 344, 39892]",97
98,"[42010, 5223, 5225, 5224, 28499, 28499, 17307, 15828, 15835, 15829, 15834]",98
99,[47594],99
100,"[40417, 51948, 10217, 10216, 31151, 21253, 40430]",100
101,"[32821, 32823, 32826, 48925, 10703, 14642]",101
102,"[49051, 9160, 35270, 49062, 49063, 31865, 35181, 35301, 35276, 35296, 46502, 34277, 24071, 41179, 34266, 34268]",102
103,"[49058, 6275, 32443, 1442, 49794, 1453, 49058, 6275]",103
104,"[19513, 50218, 1317, 2182, 32832]",104
105,"[37233, 37239, 37234, 37236, 4523, 46511, 5224, 15416, 37235]",105
106,"[5163, 33189, 38501, 49228, 6140, 6145, 5147, 12100, 20507, 20558, 20541, 20447, 23935, 32944, 7052, 4647, 1328, 16347, 19721, 19720, 3463, 12567, 12522, 51787, 3491, 50395, 48404, 50394, 44286, 17938, 41136, 44242, 11215]",106
107,"[26314, 33690, 32422, 1450, 19550, 1392, 1461, 1433, 32435, 1414, 1425, 1443]",107
108,"[2088, 10776, 2188, 32757, 40233, 32762, 32917, 2234, 2075, 8611, 11409, 14501]",108
109,[52454],109
110,"[37354, 50375, 50376, 50377]",110
111,"[28001, 23001, 30635]",111
112,"[16739, 42192, 50722, 24054, 22760, 25964, 19971, 42192, 13669, 32813]",112
113,[4164],113
114,"[6906, 11410, 11407, 22719, 11411, 38502, 29917, 13671, 23781, 23784]",114
115,"[32759, 32762, 32757, 19741, 19742, 37976, 4556, 4598, 4523, 37975, 37976, 32759, 32762, 32757]",115
116,"[32782, 32774, 32947, 32774, 38030, 40245, 32779, 32774, 38030, 18905, 32775, 40246, 32947, 32774, 32774, 32777, 32774]",116
117,"[22174, 24656, 48313, 32657, 51148, 32670, 32679, 32672, 1745, 6499, 6495, 5978, 23805, 47045, 36849, 42222, 1421, 1416, 1422, 32672, 32670, 32657, 10760, 2280, 1419, 1421, 1420, 1423, 2191, 2191, 10750]",117
118,"[1446, 1445, 1947, 4524, 41740, 42061, 43879, 43880, 42939, 31119, 26873, 34071, 34013, 19973, 51608, 19964, 19966, 21757, 43525, 15760, 51780, 1456, 32429, 1448, 1440, 42887, 40789, 40791, 40788, 1446, 4524, 1947, 1445, 32638, 32853, 32854, 50244, 50244]",118
119,[2068],119
120,"[18069, 25740, 9351, 46117, 46116, 9354, 9352, 9353, 50029, 35938, 35938, 46116, 46117, 18069, 25740, 49721, 37565, 46448, 46449, 9352, 40579, 33492, 46450, 50029, 35938, 35938, 46116, 46117, 18069, 2905, 25740]",120
121,"[654, 647, 30870, 13888, 13869, 35403, 29569]",121
122,"[7619, 7618, 4864, 4035, 7607, 7622, 7616, 30154, 4077, 4084, 4388, 1387, 3710, 43858, 36243, 36239, 4172]",122
123,"[4016, 4022, 42333, 4019]",123
124,"[7171, 8013, 14451, 49659, 46414, 16026, 2719, 2708, 43650, 4433, 2707, 2722, 26898, 2718, 19058, 6452, 6453, 6436, 21719, 13574, 38671, 38672]",124
125,"[4054, 4042, 4058, 4059, 3428, 4080]",125
126,"[7497, 7489, 25652, 7465]",126
127,"[43547, 43548, 43558, 8042, 43549, 37799, 8043, 43559, 43556, 43553, 43550, 43556]",127
128,"[40155, 40122, 40052, 40069, 40086, 40054, 40123, 40087, 40148, 8028, 40081, 40063, 40099]",128
129,[6015],129
130,"[39693, 40140, 40138, 40139, 16287, 16348]",130
131,"[3999, 47819, 47823, 4313, 42292, 2568, 29560, 29557, 29561]",131
132,"[5282, 3579, 3639, 30170, 3620]",132
133,"[19568, 4020, 4133]",133
134,"[34181, 34205, 30319, 34168, 34168, 34170, 34181, 34242]",134
135,"[31300, 21651, 37006, 18851, 18851, 37868, 37868, 23060, 43992, 17524, 32584, 37866, 37867, 23060, 17524, 43992, 21651, 37006, 31300, 37866, 32584, 37867, 37868, 18851]",135
136,"[48849, 6496, 8220, 42958, 3125, 6493, 9018, 28573, 46485, 9922, 751, 21588, 42326, 4628, 4544, 3538, 31877, 31880, 31868, 13674, 46823, 38003, 5043]",136
137,"[32635, 18631]",137
138,"[29047, 18303, 31916, 38296, 2624, 2625, 38290, 2626, 5977, 4498, 38299]",138
139,"[12645, 47179, 29022, 12642, 43061, 12640, 12678, 8816, 25744, 14163, 14209, 33884, 49447, 49446, 49448, 49353, 30025, 38449, 49446, 49447, 51282, 19615, 5194, 19616]",139
140,"[35647, 24896, 35648]",140
141,"[23128, 35869, 23086, 16346]",141
142,"[32817, 13669, 32795, 37824, 3596, 3587, 40008, 35887, 12668, 12669, 12670, 41183, 34266, 41172, 11798, 11801, 11797, 7247, 7000, 32925, 13265, 29105, 42460, 37794, 28584, 44922, 37976, 33151, 33186, 44950, 44906]",142
143,"[26308, 47030, 5155, 4531, 4531]",143
144,[13786],144
145,"[12100, 18933, 47048, 6145, 6140, 39710, 39691]",145
146,"[23704, 16195, 4509, 4516, 4557, 4574]",146
147,"[53095, 13544, 12868, 17268, 47024, 5191, 34324, 31977]",147
148,"[4575, 3593, 3592, 3597, 17846, 22279, 11056, 27474, 31807]",148
149,"[44055, 17314, 52106, 13763, 41246, 35635, 26969, 46406, 13509, 8676, 41733]",149
150,"[48657, 35987, 52987, 43045, 11178, 18755, 18756, 18754, 48273, 33764, 30548, 33763, 8279, 924, 23149, 38630, 44079, 44046, 33765]",150
151,"[23543, 14651, 38897, 7797, 6278, 321, 382, 379, 381, 380, 19304, 41366, 19300, 19302, 38462, 51954, 19012, 15859, 31499, 50987, 37742, 21336, 24286, 33756, 26070]",151
152,"[40614, 42095, 36770, 10306]",152
153,"[23447, 8499]",153
154,"[52759, 39669, 5200, 4884, 4879, 49933, 4652, 42497, 34270, 41171, 49936, 11802, 46511, 49935, 37976, 37979, 38280, 26393, 45056, 51613]",154
155,"[11490, 6272, 38851, 25704, 38845, 38860, 38852, 37843, 16951, 35408, 38798, 39742, 17056, 1166, 37336, 39656, 37844, 17472, 40600, 5202, 29611, 29650, 17057, 19603, 34916, 13088]",155
156,"[38841, 38843, 38872, 39628, 50083, 33637, 38859, 42629, 46872, 31121, 862, 16953, 859, 29570, 29573, 4633, 31496, 4589, 39679, 38817, 39676, 16127, 16416, 16416, 16416, 43049, 23375]",156
157,"[23196, 17061, 17645, 17940, 15967, 18560, 22433, 28986, 8963, 21958, 12620]",157
158,"[39980, 30866, 39592, 39594, 39599, 16986, 17029, 3032, 3058, 2946, 2977, 3032]",158
159,"[39534, 11489, 11490, 38972, 39832, 38932, 39830, 39829, 39831]",159
160,"[4529, 19584, 19596, 4636, 31513, 4823, 31512]",160
161,"[49933, 38021, 20183, 47552, 47562, 2624, 2625, 38294, 20926]",161
162,"[21825, 21820, 18544, 16798, 33315, 12810, 30323, 18531, 45928, 21724, 13526, 9457, 43212, 8799, 4591, 9089, 46314, 42560, 35936, 28384, 53001, 16939, 21890, 38945, 37133, 830, 16134, 15144, 36016, 47158, 9948, 50169, 15886, 23252, 15141]",162
163,"[38960, 26299, 38959]",163
164,"[35754, 31349, 15332, 46314, 45281, 41308, 10097, 10098, 42757, 40657]",164
165,[30323],165
166,"[6880, 6878, 3771, 3769, 52433, 38214, 43380, 28902, 42065, 15283, 48480, 38890, 39592]",166
167,[39749],167
168,"[26169, 26165, 26168, 26164]",168
169,"[37546, 37549]",169
170,"[16409, 16409, 26529, 18317, 17065]",170
171,"[20124, 29706, 20123, 20122, 31232, 31238, 31235, 31234, 31237, 6098, 31245, 23312, 23311, 31237, 12660, 12645, 12646]",171
172,"[6877, 49026, 7839, 50131, 11290, 43551, 43546, 43557, 19000, 24586, 30837, 30462, 35406, 19055, 46879, 42370, 45044, 18615]",172
173,"[22364, 37992, 42460, 29012, 48163, 48164, 28968, 29012, 48164, 22364, 28968, 37992, 48163]",173
174,"[47575, 7387, 7475, 7434, 7436, 4722, 4723, 4909, 41443]",174
175,"[8068, 45238, 9890]",175
176,"[4729, 40804, 31441, 44214, 47525, 47530, 47549, 43980, 4854, 43720]",176
177,"[19622, 6484, 6486, 3126, 3144, 49735, 6483]",177
178,"[40009, 40006, 40007, 40068, 20459, 13317, 13283, 13315, 13317, 31240, 52739, 52739]",178
179,"[21266, 47395]",179
180,"[13182, 13212, 13189, 3376, 13220, 40854, 46974, 40229, 17532, 8332, 13224, 19591, 13218, 13180, 19592, 8538, 8538, 8538, 13224, 13220, 13208, 13218]",180
181,"[49464, 38895, 21624, 21625, 21620, 41536, 9457, 21621, 8488, 34705, 34702, 41747, 41751]",181
182,"[27526, 50197, 8047, 11850, 14703, 14628, 27604, 10090, 16386, 38477, 21630, 48967, 1707, 1690, 34527, 2346, 15344, 30495, 6159, 2346, 30489, 30475]",182
183,"[31242, 16172, 31243, 31265, 52874, 23304, 22721, 16571, 5999, 6079, 39259, 38140, 23299]",183
184,"[34279, 25699]",184
185,"[26892, 47548, 43713]",185
186,"[1248, 17590, 52885, 48150, 50133, 48248, 8445, 22366, 52879, 52230, 52232, 52231, 21617, 22612, 40543]",186
187,"[24387, 24388, 24393, 46283, 24391, 2348, 24390, 24389, 24385, 24388, 46285, 24386, 24388, 24388, 24393]",187
188,"[24340, 24343, 24343, 24369, 24348, 24348, 24343, 24340]",188
189,"[45020, 45025, 25985, 38543, 31746, 13630, 24505, 38460, 38463, 19056, 45023, 45022, 45024, 10244, 46090, 25933]",189
190,"[49711, 11081, 49421, 34960, 21486, 41387, 11887, 53205, 44740, 16876, 15025, 38575, 52313, 52093, 42186, 52259, 46610, 28807, 11428, 9733, 15039, 19893, 21333, 50888, 13466, 52815, 11651, 13351, 30362, 19334, 44770, 17695, 28543, 34659, 21502, 44251, 8538, 8538, 8538, 36742]",190
191,"[32497, 50192, 34391, 34391, 11282, 16477, 8484, 24286, 15859, 21336, 40418, 11866, 22364, 28972, 31818, 22310, 28997]",191
192,"[23442, 23443, 37421, 11638, 37610, 37429, 51091, 53234, 13364, 38569, 21616, 8623, 27143, 10096, 16015, 27880, 25614, 9349, 48544, 48548, 48539, 13861, 48547, 48546, 11402, 11403]",192
193,"[1624, 25538, 28074, 25310, 25532, 50519, 25401, 30374, 25399, 25432, 25075, 21321, 25332]",193
194,"[12347, 38504, 32936, 32936, 32937, 38126, 37228]",194
195,"[11701, 43186, 37832, 15732, 15719, 15717, 9446, 9808, 28656]",195
196,"[45203, 41096, 11864, 11863, 32447, 8391, 11115, 37902, 23840, 23913, 25426, 47786, 49869, 9633]",196
197,"[41666, 41666, 41671, 41666, 38168, 41666, 41666, 41666, 41665, 25959, 47808]",197
198,"[31425, 23460, 25542, 9192, 9190, 25541, 25541]",198
199,"[23491, 12998, 16558, 19293, 8222, 9983, 18605, 18605, 4819, 35816, 35816, 31682, 35816, 35816, 35816, 35821, 33851, 25813, 43268, 43267, 21614, 51517, 13652, 13650]",199
200,"[20312, 21743, 41664, 41664, 10552, 9163]",200
201,"[25498, 30764, 19195, 25481, 19159, 26763, 22392, 20164, 25501, 25824, 1391, 24589, 32437, 1392, 11055, 24707, 30201, 10246, 24755, 33512, 14730, 25823, 43268, 25542, 40261, 32433, 20004, 12225, 23460, 45018, 11627, 33902, 28636, 11625, 31521, 33901, 34927, 31525, 25985, 10246, 1392, 32437, 14730]",201
202,"[41960, 23997, 25130, 59, 25185, 25376, 25217, 25215, 22792, 14812, 30303, 19964, 19963, 19972, 19973, 31525, 10401, 11245, 8023, 34804, 36394, 30035, 10131, 23460, 20004, 31425, 23370, 844, 12225]",202
203,"[4523, 5016, 19327, 49178, 49177, 4509, 4526, 1391, 52453, 19339, 19723, 25044, 52355, 23651, 24171, 41186, 41186, 41857, 26311, 41346, 34333]",203
204,"[25251, 25118, 25251, 19169, 26571, 25593, 23282, 19168, 31084, 26655]",204
205,"[40236, 19729, 19722, 19102, 25040, 25041, 25046, 52355, 40237]",205
206,"[27940, 14226, 50539, 24140, 581, 13852, 9871, 27939]",206
207,"[23208, 43911, 46156, 28141, 34314, 51324, 20411, 20410]",207
208,[43386],208
209,"[40081, 39486, 20427, 20526, 20435, 39495, 39413, 39792, 39792, 20475, 20435, 37283, 20526, 40081]",209
210,"[22151, 38113, 50217]",210
211,"[42770, 42851, 42867, 20460, 20555, 20484, 20457, 20498, 20487]",211
212,"[22304, 22563, 32347, 29291, 29012, 22353, 29341, 29417, 29368, 29001]",212
213,"[38211, 46930, 26395, 32523, 48408, 24230, 37972, 50417, 50462, 4654, 4653, 4565, 46929, 7988, 20173, 26401, 18635, 49424, 29358, 49427, 29946]",213
214,"[51118, 37455, 2531, 4549, 42350, 48816, 2464, 2540, 31260, 6862, 51657, 28936, 4007, 6856, 2539, 47002, 16679, 17391, 2567, 2464, 51531, 48816, 40397, 22424, 4549, 42350, 31260, 37455, 7564, 3175, 4138]",214
215,"[19948, 19948, 19948, 19948, 19948, 19948, 19948, 19948]",215
216,"[43117, 26403, 42902, 43117, 51119, 20127, 47640, 47645, 24890, 24891, 1171, 24909, 42897, 34031, 34031, 33945, 33984, 34012, 34011, 13033]",216
217,"[37877, 49461, 52756, 20341, 23896, 39066, 39064, 39065, 39063, 34772, 37773, 34865, 37688, 37704, 37697, 22699, 37669]",217
218,"[39798, 39797, 23910, 39792, 39792, 24101, 37252, 23907, 35818, 20433, 20475, 37283, 23910, 23910, 20427]",218
219,"[15242, 15238, 15248, 20533, 15247, 20534, 15235, 20534, 20510, 20510, 20510, 20511, 22834, 35909, 48020, 48021, 35908]",219
220,"[46826, 25766, 15147, 37179]",220
221,"[44232, 24854, 24856, 42718, 42717, 42716, 42715, 43481, 21389, 40883, 28872, 27672, 40884, 295, 34393, 36487, 40498, 40499, 33918, 24853, 24855, 34394, 17584, 17582, 17583, 17581, 17580, 43485, 43486, 43483, 43482, 32512, 32513, 14571, 14569, 14570, 515, 25765, 11939, 16677, 32315]",221
222,"[18675, 18714, 18808]",222
223,"[23434, 36991, 15506, 38368, 37093, 31968]",223
224,[18237],224
225,"[24954, 27575, 12613, 12611, 12610, 12607, 46468, 41857, 45042, 32294]",225
